time,angle,error,voltage
1.5128204822540283,95,-5,-100
1.521578073501587,93,-3,-100
1.529571771621704,90,0,0
1.5361032485961914,88,2,100
1.543625831604004,85,5,100
1.551360845565796,83,7,100
1.5587348937988281,81,9,100
1.5706355571746826,79,11,100
1.578948736190796,79,11,100
1.586456537246704,79,11,100
1.5924553871154785,80,10,100
1.5971100330352783,81,9,100
1.6027803421020508,82,8,100
1.6088714599609375,83,7,100
1.613670825958252,84,6,100
1.6194806098937988,86,4,100
1.6251215934753418,87,3,100
1.6309738159179688,89,1,100
1.6356747150421143,91,-1,-100
1.6412956714630127,94,-4,-100
1.6461715698242188,95,-5,-100
1.6520345211029053,97,-7,-100
1.656709909439087,99,-9,-100
1.6623635292053223,100,-10,-100
1.6746277809143066,102,-12,-100
1.6807639598846436,102,-12,-100
1.685410499572754,103,-13,-100
1.691300630569458,102,-12,-100
1.6961686611175537,102,-12,-100
1.7017147541046143,101,-11,-100
1.7067065238952637,101,-11,-100
1.7125260829925537,99,-9,-100
1.7175428867340088,98,-8,-100
1.7228682041168213,96,-6,-100
1.7295629978179932,95,-5,-100
1.734283447265625,93,-3,-100
1.7400519847869873,91,-1,-100
1.7445793151855469,89,1,100
1.7505128383636475,87,3,100
1.7551074028015137,86,4,100
1.76090669631958,83,7,100
1.7655880451202393,82,8,100
1.7713909149169922,81,9,100
1.7771368026733398,79,11,100
1.7829861640930176,79,11,100
1.788560390472412,78,12,100
1.7932441234588623,78,12,100
1.799149513244629,78,12,100
1.8040094375610352,78,12,100
1.8105723857879639,79,11,100
1.815157175064087,80,10,100
1.8209655284881592,81,9,100
1.8266682624816895,82,8,100
1.8325273990631104,83,7,100
1.8376481533050537,85,5,100
1.8429687023162842,87,3,100
1.8485705852508545,89,1,100
1.8539741039276123,91,-1,-100
1.8595056533813477,93,-3,-100
1.8642361164093018,95,-5,-100
1.8700194358825684,97,-7,-100
1.8745558261871338,98,-8,-100
1.8811638355255127,99,-9,-100
1.8860673904418945,101,-11,-100
1.891570806503296,101,-11,-100
